company,domain,year,layoffs,pct_workforce,region,reason,ai_attributed
Intel,Software Engineering,2025,22000,20%,US/Global,"Announced April 23, 2025; multiyear turnaround; $10B 2025 cost savings; operating model simplification",No
Meta,Software Engineering,2025,3600,5%,Global,Low-performer exit; CEO Zuckerberg memo; AI-driven restructuring; 5% based on performance ratings,No
Microsoft,Software Engineering,2025,6000,3%,Global,Largest layoff since 2023; manager-layer reduction; focus on AI efficiency post strong Q1 earnings,No
Salesforce,Software Engineering,2025,5000,7%,Global,"~1,000 in Feb + 4,000 support roles later; AI agents explicitly cited as driver by CEO Benioff",Yes
Amazon,Software Engineering,2025,14000,4%,Global,October 2025; framed as 'reallocation of resources toward AI infrastructure'; management layer flattening,No
Workday,Data Science,2025,1750,8.5%,Global,AI investment reallocation; office consolidation announced at investor day 2025,Yes
HPE,DevOps / Cloud,2025,2500,5%,Global,19% share price decline Q1 2025; cloud portfolio rationalisation,No
Otorio,Cybersecurity,2025,50,,Israel,Acquired by Armis for $120M; workforce integration cuts post-acquisition,No
xAI (Elon Musk),AI/ML,2025,0,,US,Reorganisation; 2 co-founders + 8 engineers confirmed; Musk confirmed via social media. Company plans aggressive rehiring.,No
Amazon,Software Engineering,2026,16000,,Global,"Jan 28, 2026 — largest single 2026 event; 'streamlining operations, flattening management layers'",No
Intel,Software Engineering,2026,24000,~20%,US/Global,Announced as part of multiyear turnaround; operating model restructure; ties to 2025 plan,No
Block (Jack Dorsey),Software Engineering,2026,4000,40%,US,"Feb 2026; Dorsey explicitly cited AI automation. 'Intelligence-native' model. 40% of entire 10,000-person workforce.",Yes
Atlassian,Software Engineering,2026,1600,10%,Australia/Global,"March 11, 2026; 900+ R&D roles cut; CEO Mike Cannon-Brookes declared AI-first pivot; CTO replaced",Yes
Meta (Reality Labs),AI/ML,2026,1500,,Global,Reality Labs division cuts; Zuckerberg frustrated Meta fell behind rivals in AI race,No
WiseTech Global,Software Engineering,2026,2000,,Australia,"2,000 cuts announced over 2 years; Sydney-based; AI restructuring cited",No
Ubisoft,Software Engineering,2026,0,,France/Global,Ending game development at Ghost Recon Studio Red Storm Entertainment,No
